Using nonce 18369355690310434798
ProgramPool (avg. ticks 0, avg. max stack size 0, rp 0)<
  Program 137 <size 188, parent 109, gen gap 1, avg score 128.531, runs 21.125<
  Program 138 <size 188, parent 62, gen gap 1, avg score 70.2792, runs 12<
  Program 139 <size 189, parent 107, gen gap 1, avg score 67.705, runs 2<
  Program 140 <size 188, parent 94, gen gap 1, avg score 132.363, runs 2<
  Program 141 <size 185, parent 31, gen gap 1, avg score 104.336, runs 10<
  Program 142 <size 185, parent 7, gen gap 1, avg score 129.213, runs 12.5<
  Program 143 <size 187, parent 106, gen gap 1, avg score 44.3557, runs 6<
  Program 144 <size 188, parent 94, gen gap 1, avg score 124.352, runs 17.5<
  Program 145 <size 187, parent 122, gen gap 1, avg score 121.956, runs 8.875<
  Program 146 <size 185, parent 18, gen gap 1, avg score 102.288, runs 6<
  Program 147 <size 186, parent 65, gen gap 1, avg score 79.749, runs 8.625<
  Program 148 <size 186, parent 142, gen gap 1, avg score 124.885, runs 13<
  Program 149 <size 188, parent 110, gen gap 1, avg score 121.462, runs 15.5<
  Program 150 <size 186, parent 35, gen gap 1, avg score 118.275, runs 9.6875<
  Program 151 <size 187, parent 83, gen gap 1, avg score 99.5851, runs 11.375<
  Program 152 <size 187, parent 112, gen gap 1, avg score 124.259, runs 12<
  Program 153 <size 187, parent 150, gen gap 1, avg score 129.269, runs 9.375<
  Program 154 <size 189, parent 119, gen gap 1, avg score 131.666, runs 2<
  Program 155 <size 187, parent 79, gen gap 1, avg score 123.228, runs 7<
  Program 156 <size 189, parent 77, gen gap 1, avg score 107.381, runs 8<
  Program 157 <size 189, parent 90, gen gap 1, avg score 78.8213, runs 17<
  Program 158 <size 187, parent 91, gen gap 1, avg score 83.4742, runs 4<
  Program 159 <size 189, parent 22, gen gap 1, avg score 43.5044, runs 7<
  Program 160 <size 187, parent 51, gen gap 1, avg score 133.067, runs 2<
  Program 161 <size 187, parent 81, gen gap 1, avg score 66.9145, runs 2<
  Program 162 <size 187, parent 36, gen gap 1, avg score 123.549, runs 7<
  Program 163 <size 184, parent 2, gen gap 1, avg score 134.863, runs 4<
  Program 164 <size 187, parent 106, gen gap 1, avg score 66.9145, runs 2<
  Program 165 <size 186, parent 66, gen gap 1, avg score 110.42, runs 7<
  Program 166 <size 185, parent 7, gen gap 1, avg score 69.7266, runs 18<
  Program 167 <size 188, parent 127, gen gap 1, avg score 132.363, runs 2<
  Program 168 <size 189, parent 119, gen gap 1, avg score 131.321, runs 4<
  Program 169 <size 188, parent 56, gen gap 1, avg score 81.1771, runs 16.4375<
  Program 170 <size 188, parent 105, gen gap 1, avg score 108.194, runs 5.5<
  Program 171 <size 189, parent 149, gen gap 1, avg score 69.261, runs 2<
  Program 172 <size 188, parent 127, gen gap 1, avg score 52.0319, runs 7.75<
  Program 173 <size 189, parent 138, gen gap 1, avg score 99.7435, runs 6<
  Program 174 <size 188, parent 107, gen gap 1, avg score 131.669, runs 5.5<
  Program 175 <size 186, parent 33, gen gap 1, avg score 133.071, runs 5.5<
  Program 176 <size 191, parent 172, gen gap 1, avg score 27.7191, runs 9.5<
  Program 177 <size 187, parent 52, gen gap 1, avg score 125.028, runs 14.4375<
  Program 178 <size 188, parent 105, gen gap 1, avg score 105.155, runs 13.1875<
  Program 179 <size 186, parent 15, gen gap 1, avg score 114.483, runs 7<
  Program 180 <size 189, parent 98, gen gap 1, avg score 15.0456, runs 9<
  Program 181 <size 185, parent 7, gen gap 1, avg score 122.92, runs 15.5<
  Program 182 <size 186, parent 35, gen gap 1, avg score 119.096, runs 15.125<
  Program 183 <size 187, parent 83, gen gap 1, avg score 132.505, runs 5<
  Program 184 <size 188, parent 109, gen gap 1, avg score 87.4894, runs 11.5<
  Program 185 <size 188, parent 49, gen gap 1, avg score 105.475, runs 17<
  Program 186 <size 187, parent 182, gen gap 1, avg score 117.999, runs 6.75<
  Program 187 <size 187, parent 103, gen gap 1, avg score 133.067, runs 2<
  Program 188 <size 186, parent 92, gen gap 1, avg score 71.8197, runs 13<
  Program 189 <size 188, parent 145, gen gap 1, avg score 116.403, runs 11.75<
  Program 190 <size 186, parent 17, gen gap 1, avg score 110.375, runs 12.75<
  Program 191 <size 190, parent 157, gen gap 1, avg score 60.419, runs 16<
  Program 192 <size 188, parent 153, gen gap 1, avg score 127.592, runs 12.75<
  Program 193 <size 186, parent 181, gen gap 1, avg score 107.663, runs 13<
  Program 194 <size 188, parent 62, gen gap 1, avg score 120.768, runs 14.25<
  Program 195 <size 188, parent 109, gen gap 1, avg score 132.363, runs 2<
  Program 196 <size 188, parent 128, gen gap 1, avg score 124.398, runs 8.75<
  Program 197 <size 187, parent 58, gen gap 1, avg score 109.857, runs 16.4375<
  Program 198 <size 188, parent 197, gen gap 1, avg score 94.8741, runs 12.875<
  Program 199 <size 187, parent 95, gen gap 1, avg score 132.298, runs 10.5<
  Program 200 <size 187, parent 39, gen gap 1, avg score 108.328, runs 7.5<
  Program 201 <size 186, parent 16, gen gap 1, avg score 133.779, runs 2<
